    35614,"New York-Jersey City-White Plains, NY-NJ (Metropolitan Division)",36071,"Orange, NY "
    35614,"New York-Jersey City-White Plains, NY-NJ (Metropolitan Division)",36081,"Queens, NY "
    35614,"New York-Jersey City-White Plains, NY-NJ (Metropolitan Division)",36085,"Richmond, NY "
    35614,"New York-Jersey City-White Plains, NY-NJ (Metropolitan Division)",36087,"Rockland, NY "
    35614,"New York-Jersey City-White Plains, NY-NJ (Metropolitan Division)",36119,"Westchester, NY "
    36084,"Oakland-Hayward-Berkeley, CA (Metropolitan Division)",06001,"Alameda, CA "
    36084,"Oakland-Hayward-Berkeley, CA (Metropolitan Division)",06013,"Contra Costa, CA "
    37964,"Philadelphia, PA (Metropolitan Division)",42045,"Delaware, PA "
    37964,"Philadelphia, PA (Metropolitan Division)",42101,"Philadelphia, PA "
    40484,"Rockingham County-Strafford County, NH (Metropolitan Division)",33015,"Rockingham, NH "
    40484,"Rockingham County-Strafford County, NH (Metropolitan Division)",33017,"Strafford, NH "
    41884,"San Francisco-Redwood City-South San Francisco, CA (Metropolitan Division)",06075,"San Francisco, CA "
    41884,"San Francisco-Redwood City-South San Francisco, CA (Metropolitan Division)",06081,"San Mateo, CA "
    42034,"San Rafael, CA (Metropolitan Division)",06041,"Marin, CA "
    42644,"Seattle-Bellevue-Everett, WA (Metropolitan Division)",53033,"King, WA "
    42644,"Seattle-Bellevue-Everett, WA (Metropolitan Division)",53061,"Snohomish, WA "
    43524,"Silver Spring-Frederick-Rockville, MD (Metropolitan Division)",24021,"Frederick, MD "
    43524,"Silver Spring-Frederick-Rockville, MD (Metropolitan Division)",24031,"Montgomery, MD "
    45104,"Tacoma-Lakewood, WA (Metropolitan Division)",53053,"Pierce, WA "
    47664,"Warren-Troy-Farmington Hills, MI (Metropolitan Division)",26087,"Lapeer, MI "
    47664,"Warren-Troy-Farmington Hills, MI (Metropolitan Division)",26093,"Livingston, MI "
    47664,"Warren-Troy-Farmington Hills, MI (Metropolitan Division)",26099,"Macomb, MI "
    47664,"Warren-Troy-Farmington Hills, MI (Metropolitan Division)",26125,"Oakland, MI "
    47664,"Warren-Troy-Farmington Hills, MI (Metropolitan Division)",26147,"St. Clair, MI "
    47894,"Washington-Arlington-Alexandria, DC-VA-MD-WV (Metropolitan Division)",11001,"District of Columbia, DC "
    47894,"Washington-Arlington-Alexandria, DC-VA-MD-WV (Metropolitan Division)",24009,"Calvert, MD "
    47894,"Washington-Arlington-Alexandria, DC-VA-MD-WV (Metropolitan Division)",24017,"Charles, MD "
    47894,"Washington-Arlington-Alexandria, DC-VA-MD-WV (Metropolitan Division)",24033,"Prince George's, MD "
    47894,"Washington-Arlington-Alexandria, DC-VA-MD-WV (Metropolitan Division)",51013,"Arlington, VA "
