COUNTY_ID,COUNTY_NAME,DIST_ID,LEA_NAME,SCHOOL_ID,SCHOOL_NAME,PRGCODE,GRADE_LEVEL,WH_M,WH_F,BL_M,BL_F,HI_M,HI_F,AS_M,AS_F,AM_M,AM_F,PI_M,PI_F,MU_M,MU_F,ROW_TOTAL,FREE_LUNCH,REDUCED_PRICE_LUNCH,LEP,MIGRANT
21,MERCER,5210,TRENTON CITY,265,P.J. Hill Elementary,01,01,1,0,39,28,8,2,0,0,0,0,0,0,1,0,79,,,,
21,MERCER,5210,TRENTON CITY,265,P.J. Hill Elementary,02,02,0,0,29,19,4,6,0,0,0,0,0,0,1,0,59,,,,
21,MERCER,5210,TRENTON CITY,265,P.J. Hill Elementary,03,03,0,0,28,21,5,1,0,0,0,1,0,0,0,0,56,,,,
21,MERCER,5210,TRENTON CITY,265,P.J. Hill Elementary,04,04,0,0,21,19,3,10,1,1,0,1,0,0,0,0,56,,,,
21,MERCER,5210,TRENTON CITY,265,P.J. Hill Elementary,05,05,0,1,20,26,11,5,0,0,0,0,0,0,0,0,63,,,,
21,MERCER,5210,TRENTON CITY,265,P.J. Hill Elementary,UG,UG,0,0,25,13,12,3,0,1,0,0,0,0,0,0,54,,,,
21,MERCER,5210,TRENTON CITY,265,P.J. Hill Elementary,55,TOTAL,3,1,193,149,51,35,2,4,0,2,0,0,3,0,443,379,15,16,0
21,MERCER,5210,TRENTON CITY,270,Parker Elementary,KF,KG,3,0,10,8,15,7,0,0,0,0,0,0,0,1,44,,,,
21,MERCER,5210,TRENTON CITY,270,Parker Elementary,01,01,0,1,26,21,26,26,0,0,0,0,0,0,0,1,101,,,,
21,MERCER,5210,TRENTON CITY,270,Parker Elementary,02,02,1,1,25,19,21,14,0,0,0,0,0,0,0,0,81,,,,
21,MERCER,5210,TRENTON CITY,270,Parker Elementary,03,03,3,1,15,23,28,22,0,1,0,0,0,0,0,0,93,,,,
21,MERCER,5210,TRENTON CITY,270,Parker Elementary,04,04,0,2,8,12,22,27,0,1,1,0,0,0,0,0,73,,,,
21,MERCER,5210,TRENTON CITY,270,Parker Elementary,05,05,0,0,8,16,13,12,0,0,0,0,0,0,0,1,50,,,,
21,MERCER,5210,TRENTON CITY,270,Parker Elementary,UG,UG,0,1,6,6,8,1,0,0,0,0,0,0,0,0,22,,,,
21,MERCER,5210,TRENTON CITY,270,Parker Elementary,55,TOTAL,7,6,98,105,133,109,0,2,1,0,0,0,0,3,464,423,22,82,0
21,MERCER,5210,TRENTON CITY,280,Robbins Elementary School,KF,KG,1,0,9,15,32,36,0,1,0,0,0,0,0,0,94,,,,
21,MERCER,5210,TRENTON CITY,280,Robbins Elementary School,01,01,1,1,8,8,28,41,1,0,0,0,0,0,0,0,88,,,,
21,MERCER,5210,TRENTON CITY,280,Robbins Elementary School,02,02,0,0,14,12,27,27,1,1,0,0,0,0,0,0,82,,,,
21,MERCER,5210,TRENTON CITY,280,Robbins Elementary School,03,03,0,0,7,9,21,22,0,0,0,0,0,0,1,0,60,,,,
21,MERCER,5210,TRENTON CITY,280,Robbins Elementary School,UG,UG,0,0,0,0,9,1,0,0,0,0,0,0,0,0,10,,,,
21,MERCER,5210,TRENTON CITY,280,Robbins Elementary School,55,TOTAL,2,1,38,44,117,127,2,2,0,0,0,0,1,0,334,297,16,174,1
21,MERCER,5210,TRENTON CITY,300,Washington Elementary School,KF,KG,1,1,12,13,29,24,1,0,0,0,0,0,1,0,82,,,,
21,MERCER,5210,TRENTON CITY,300,Washington Elementary School,01,01,2,2,10,10,34,23,0,1,0,0,0,0,0,0,82,,,,
21,MERCER,5210,TRENTON CITY,300,Washington Elementary School,02,02,1,0,7,4,25,25,0,0,0,1,0,0,0,0,63,,,,
21,MERCER,5210,TRENTON CITY,300,Washington Elementary School,03,03,2,1,8,8,21,21,0,0,0,0,0,0,0,0,61,,,,
21,MERCER,5210,TRENTON CITY,300,Washington Elementary School,UG,UG,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,,,,
21,MERCER,5210,TRENTON CITY,300,Washington Elementary School,55,TOTAL,6,4,37,35,110,93,1,1,0,1,0,0,1,0,289,260,13,110,0
21,MERCER,5210,TRENTON CITY,301,Hedgepeth William Middle School,06,06,0,3,44,46,41,37,3,1,0,0,0,0,0,0,175,,,,
21,MERCER,5210,TRENTON CITY,301,Hedgepeth William Middle School,07,07,0,3,38,38,17,27,2,3,1,0,0,0,0,0,129,,,,
21,MERCER,5210,TRENTON CITY,301,Hedgepeth William Middle School,08,08,1,1,33,46,21,23,2,0,0,0,0,0,0,0,127,,,,
21,MERCER,5210,TRENTON CITY,301,Hedgepeth William Middle School,UG,UG,2,0,24,15,15,10,0,0,0,0,0,0,0,0,66,,,,
21,MERCER,5210,TRENTON CITY,301,Hedgepeth William Middle School,55,TOTAL,3,7,139,145,94,97,7,4,1,0,0,0,0,0,497,419,40,18,0
21,MERCER,5210,TRENTON CITY,310,Wilson Elementary School,KF,KG,0,2,6,1,14,4,0,0,0,0,0,0,0,0,27,,,,
21,MERCER,5210,TRENTON CITY,310,Wilson Elementary School,01,01,0,0,15,15,20,21,2,0,0,0,0,0,0,0,73,,,,
21,MERCER,5210,TRENTON CITY,310,Wilson Elementary School,02,02,0,3,16,6,22,16,2,0,0,0,0,0,0,0,65,,,,
21,MERCER,5210,TRENTON CITY,310,Wilson Elementary School,03,03,0,0,10,9,21,20,1,2,0,0,0,0,0,0,63,,,,
